id,city,county_id,state,type,sort_order
528,Ivanhoe,41,MN,,
529,Jackson,32,MN,,
530,Janesville,81,MN,,
531,Jasper,59,MN,,
532,Jasper,67,MN,,
533,Jeffers,17,MN,,
534,Jenkins,18,MN,,
535,Johnson,6,MN,,
536,Jordan,70,MN,,
537,Kandiyohi,34,MN,,
538,Karlstad,35,MN,,
539,Kasota,40,MN,,
540,Kasson,20,MN,,
541,Keewatin,31,MN,,
542,Kelliher,4,MN,,
543,Kellogg,79,MN,,
544,Kennedy,35,MN,,
545,Kenneth,67,MN,,
546,Kensington,21,MN,,
547,Kent,84,MN,,
548,Kenyon,25,MN,,
549,Kerkhoven,76,MN,,
550,Kerrick,58,MN,,
551,Kettle River,9,MN,,
552,Kiester,22,MN,,
553,Kilkenny,40,MN,,
554,Kimball,73,MN,,
555,Kinbrae,53,MN,,
556,Kingston,47,MN,,
557,Kinney,69,MN,,
558,La Crescent,28,MN,,
559,La Crescent,85,MN,,
560,La Prairie,31,MN,,
561,La Salle,83,MN,,
562,Lafayette,52,MN,,
563,Lake Benton,41,MN,,
564,Lake Bronson,35,MN,,
565,Lake Crystal,7,MN,,
566,Lake Henry,73,MN,,
567,Lake Lillian,34,MN,,
568,Lake Park,3,MN,,
569,Lake Saint Croix Beach,82,MN,,
570,Lake Shore,11,MN,,
571,Lake Wilson,51,MN,,
572,Lakefield,32,MN,,
573,Lakeland,82,MN,,
574,Lakeland Shores,82,MN,,
575,Lakeville,19,MN,,
576,Lamberton,64,MN,,
577,Lancaster,35,MN,,
578,Landfall,82,MN,,
579,Lanesboro,23,MN,,
580,Laporte,29,MN,,
581,Lastrup,49,MN,,
582,Lauderdale,62,MN,,
583,Le Center,40,MN,,
584,Le Roy,50,MN,,
585,Le Sueur,40,MN,,
586,Le Sueur,72,MN,,
587,Lengby,60,MN,,
588,Leonard,15,MN,,
589,Leonidas,69,MN,,
590,Lester Prairie,46,MN,,
591,Lewiston,85,MN,,
592,Lewisville,83,MN,,
593,Lexington,2,MN,,
594,Lilydale,19,MN,,
595,Lindstrom,13,MN,,
596,Lino Lakes,2,MN,,
597,Lismore,53,MN,,
598,Litchfield,47,MN,,
599,Little Canada,62,MN,,
600,Little Falls,49,MN,,
601,Littlefork,36,MN,,
602,Long Beach,61,MN,,
603,Long Lake,27,MN,,
604,Long Prairie,77,MN,,
605,Longville,11,MN,,
606,Lonsdale,66,MN,,
607,Loretto,27,MN,,
608,Louisburg,37,MN,,
609,Lowry,61,MN,,
610,Lucan,64,MN,,
611,Luverne,67,MN,,
612,Lyle,50,MN,,
613,Lynd,42,MN,,
614,Mabel,23,MN,,
615,Madelia,83,MN,,
616,Madison,37,MN,,
617,Madison Lake,7,MN,,
618,Magnolia,67,MN,,
619,Mahnomen,43,MN,,
620,Mahtomedi,82,MN,,
621,Manchester,24,MN,,
622,Manhattan Beach,18,MN,,
623,Mankato,7,MN,,
624,Mankato,40,MN,,
625,Mankato,52,MN,,
626,Mantorville,20,MN,,
627,Maple Grove,27,MN,,
628,Maple Lake,86,MN,,
629,Maple Plain,27,MN,,
630,Mapleton,7,MN,,
631,Mapleview,50,MN,,
632,Shafer,13,MN,,
633,Shakopee,70,MN,,
634,Shelly,54,MN,,
635,Sherburn,45,MN,,
